source_file,csv_name,C:\Users\kschi\OneDrive\Desktop\Placards\TEST_SVGs\020NOBL_clean.svg,area,area_est,axis,bbox_area_sum,bin_center,check,commands,count,coverage_percent,def_id,file,fill,has_HV,href,id,index,kind_prop,opacity,rank,stroke,stroke_width,tag,value,vb_area
020NOBL_clean,elements.csv,,,433.38,,,,,M:1 V:2 H:2,,,,,none,1,,,95,,,,#ff00ff,12.0,path,,
020NOBL_clean,elements.csv,,,434.89,,,,,M:1 V:2 H:2,,,,,none,1,,,96,,,,#ff00ff,12.0,path,,
020NOBL_clean,elements.csv,,,434.89,,,,,M:1 V:2 H:2,,,,,none,1,,,97,,,,#ff00ff,12.0,path,,
020NOBL_clean,elements.csv,,,434.89,,,,,M:1 V:2 H:2,,,,,none,1,,,98,,,,#ff00ff,12.0,path,,
020NOBL_clean,elements.csv,,,434.89,,,,,M:1 V:2 H:2,,,,,none,1,,,99,,,,#ff00ff,12.0,path,,
020NOBL_clean,elements.csv,,,433.85,,,,,M:1 V:2 H:2,,,,,none,1,,,100,,,,#ff00ff,12.0,path,,
020NOBL_clean,elements.csv,,,433.85,,,,,M:1 V:2 H:2,,,,,none,1,,,101,,,,#ff00ff,12.0,path,,
020NOBL_clean,elements.csv,,,433.85,,,,,M:1 V:2 H:2,,,,,none,1,,,102,,,,#ff00ff,12.0,path,,
020NOBL_clean,elements.csv,,,433.85,,,,,M:1 V:2 H:2,,,,,none,1,,,103,,,,#ff00ff,12.0,path,,
020NOBL_clean,elements.csv,,,434.89,,,,,M:1 V:2 H:2,,,,,none,1,,,104,,,,#ff00ff,12.0,path,,
020NOBL_clean,elements.csv,,,434.89,,,,,M:1 V:2 H:2,,,,,none,1,,,105,,,,#ff00ff,12.0,path,,
020NOBL_clean,elements.csv,,,11262.09,,,,,M:1 H:2 V:2,,,,,none,1,,,106,,,,#000000,12.0,path,,
020NOBL_clean,elements.csv,,,11430.51,,,,,M:1 H:2 V:1,,,,,none,1,,,107,,,,#000000,12.0,path,,
020NOBL_clean,elements.csv,,,21.62,,,,,M:1,,,,,none,0,,,108,,,,#00ff00,12.0,path,,
020NOBL_clean,elements.csv,,,21.62,,,,,M:1 V:2 H:2,,,,,none,1,,,109,,,,#00ff00,12.0,path,,
020NOBL_clean,elements.csv,,,5.51,,,,,M:1,,,,,none,0,,,110,,,,#00ff00,12.0,path,,
020NOBL_clean,elements.csv,,,5.51,,,,,M:1 V:2 H:2,,,,,none,1,,,111,,,,#00ff00,12.0,path,,
020NOBL_clean,elements.csv,,,23.99,,,,,M:1,,,,,none,0,,,112,,,,#00ff00,12.0,path,,
020NOBL_clean,elements.csv,,,23.99,,,,,M:1,,,,,none,0,,,113,,,,#00ff00,12.0,path,,
020NOBL_clean,elements.csv,,,0.01,,,,,M:1 C:1,,,,,none,0,,,114,,,,#00ff00,12.0,path,,
020NOBL_clean,elements.csv,,,23.99,,,,,M:1 V:2 H:1,,,,,none,1,,,115,,,,#00ff00,12.0,path,,
020NOBL_clean,elements.csv,,,0.01,,,,,M:1 C:1,,,,,none,0,,,116,,,,#00ff00,12.0,path,,
020NOBL_clean,elements.csv,,,2.71,,,,,M:1 C:1,,,,,none,0,,,117,,,,#00ff00,12.0,path,,
020NOBL_clean,elements.csv,,,5.51,,,,,M:1,,,,,none,0,,,118,,,,#00ff00,12.0,path,,
020NOBL_clean,elements.csv,,,5.51,,,,,M:1 V:2 H:2,,,,,none,1,,,119,,,,#00ff00,12.0,path,,
020NOBL_clean,elements.csv,,,5.62,,,,,M:1,,,,,none,0,,,120,,,,#00ff00,12.0,path,,
020NOBL_clean,elements.csv,,,5.62,,,,,M:1 V:2 H:2,,,,,none,1,,,121,,,,#00ff00,12.0,path,,
020NOBL_clean,elements.csv,,,5.62,,,,,M:1,,,,,none,0,,,122,,,,#00ff00,12.0,path,,
020NOBL_clean,elements.csv,,,5.62,,,,,M:1 V:2 H:2,,,,,none,1,,,123,,,,#00ff00,12.0,path,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,124,,,,,,g,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,125,,,,,,g,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,126,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,127,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,128,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,129,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,130,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,131,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,132,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,133,,,,,,use,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,134,,,,,,g,,
020NOBL_clean,elements.csv,,,1291.68,,,,,M:1 C:1,,,,,none,0,,,135,,,,#000000,12.0,path,,
020NOBL_clean,elements.csv,,,223.65,,,,,M:1,,,,,none,0,,,136,,,,#000000,12.0,path,,
020NOBL_clean,elements.csv,,,145.15,,,,,M:1,,,,,none,0,,,137,,,,#000000,12.0,path,,
020NOBL_clean,elements.csv,,,117.16,,,,,M:1,,,,,none,0,,,138,,,,#000000,12.0,path,,
