source_file,csv_name,C:\Users\kschi\OneDrive\Desktop\Placards\TEST_SVGs\264BOAT_clean.svg,area,area_est,axis,bbox_area_sum,bin_center,check,commands,count,coverage_percent,def_id,file,fill,has_HV,href,id,index,kind_prop,opacity,rank,stroke,stroke_width,tag,value,vb_area
264BOAT_clean,elements.csv,,,104.24,,,,,M:1 H:2 V:2,,,,,none,1,,,77,,,,#411f9e,12.0,path,,
264BOAT_clean,elements.csv,,,103.42,,,,,M:1 H:2 V:2,,,,,none,1,,,78,,,,#411f9e,12.0,path,,
264BOAT_clean,elements.csv,,,104.24,,,,,M:1 H:2 V:2,,,,,none,1,,,79,,,,#411f9e,12.0,path,,
264BOAT_clean,elements.csv,,,103.42,,,,,M:1 H:2 V:2,,,,,none,1,,,80,,,,#411f9e,12.0,path,,
264BOAT_clean,elements.csv,,,52.06,,,,,M:1,,,,,none,0,,,81,,,,#000000,12.0,path,,
264BOAT_clean,elements.csv,,,,,,,,M:1 H:1,,,,,none,1,,,82,,,,#000000,12.0,path,,
264BOAT_clean,elements.csv,,,4.93,,,,,M:1,,,,,none,0,,,83,,,,#00ff00,12.0,path,,
264BOAT_clean,elements.csv,,,1.26,,,,,M:1,,,,,none,0,,,84,,,,#00ff00,12.0,path,,
264BOAT_clean,elements.csv,,,1.26,,,,,M:1,,,,,none,0,,,85,,,,#00ff00,12.0,path,,
264BOAT_clean,elements.csv,,,1.21,,,,,M:1,,,,,none,0,,,86,,,,#00ff00,12.0,path,,
264BOAT_clean,elements.csv,,,5.54,,,,,M:1,,,,,none,0,,,87,,,,#00ff00,12.0,path,,
264BOAT_clean,elements.csv,,,5.54,,,,,M:1,,,,,none,0,,,88,,,,#00ff00,12.0,path,,
264BOAT_clean,elements.csv,,,,,,,,M:1 V:1,,,,,none,1,,,89,,,,#00ff00,12.0,path,,
264BOAT_clean,elements.csv,,,,,,,,M:1 V:1,,,,,none,1,,,90,,,,#00ff00,12.0,path,,
264BOAT_clean,elements.csv,,,0.62,,,,,M:1 C:1,,,,,none,0,,,91,,,,#00ff00,12.0,path,,
264BOAT_clean,elements.csv,,,1.21,,,,,M:1,,,,,none,0,,,92,,,,#00ff00,12.0,path,,
264BOAT_clean,elements.csv,,,103.87,,,,,M:1 H:2 V:2,,,,,none,1,,,93,,,,#411f9e,12.0,path,,
